Rank,Release Group,Worldwide,Domestic,%,Foreign,%
69,Along With the Gods: The Last 49 Days,"$97,962,238","$1,200,246",1.2%,"$96,761,992",98.8%
70,A Simple Favor,"$97,644,617","$53,548,586",54.8%,"$44,096,031",45.2%
71,Boonie Bears: The Big Shrink,"$96,845,907",-,-,"$96,845,907",100%
72,The Favourite,"$95,918,706","$34,366,783",35.8%,"$61,551,923",64.2%
73,Truth or Dare,"$95,330,493","$41,411,015",43.4%,"$53,919,478",56.6%
74,Kill Mobile,"$94,870,905",-,-,"$94,870,905",100%
75,I Feel Pretty,"$94,539,426","$48,795,601",51.6%,"$45,743,825",48.4%
76,Blockers,"$94,017,294","$60,311,495",64.1%,"$33,705,799",35.9%
77,BlacKkKlansman,"$93,400,823","$49,275,340",52.8%,"$44,125,483",47.2%
78,Goosebumps 2: Slappy's Revenge,"$93,320,380","$46,700,633",50%,"$46,619,747",50%
79,Shadow,"$91,708,374","$521,396",0.6%,"$91,186,978",99.4%
80,Overboard,"$91,244,913","$50,316,123",55.1%,"$40,928,790",44.9%
81,Sherlock Gnomes,"$90,497,778","$43,242,871",47.8%,"$47,254,907",52.2%
82,Detective Dee: The Four Heavenly Kings,"$90,040,771","$262,963",0.3%,"$89,777,808",99.7%
83,"Hello, Mrs. Money","$86,874,070",-,-,"$86,874,070",100%
84,Robin Hood,"$86,489,031","$30,824,628",35.6%,"$55,664,403",64.4%
85,I Can Only Imagine,"$86,086,881","$83,482,352",97%,"$2,604,529",3%
86,Hidden Man,"$85,170,581",-,-,"$85,170,581",100%
87,Mortal Engines,"$83,672,673","$15,951,040",19.1%,"$67,721,633",80.9%
88,iPartment the Movie,"$81,096,321",-,-,"$81,096,321",100%
89,Doraemon the Movie: Nobita's Treasure Island,"$80,920,916",-,-,"$80,920,916",100%
90,Den of Thieves,"$80,509,622","$44,947,622",55.8%,"$35,562,000",44.2%
91,Hereditary,"$80,200,936","$44,069,456",54.9%,"$36,131,480",45.1%
92,Code Blue: The Movie,"$78,778,562",-,-,"$78,778,562",100%
93,Tag,"$78,130,625","$54,730,625",70.1%,"$23,400,000",29.9%
94,Sanju,"$76,693,052","$7,909,317",10.3%,"$68,783,735",89.7%
95,Vice,"$76,073,488","$47,836,282",62.9%,"$28,237,206",37.1%
96,Widows,"$75,984,700","$42,402,632",55.8%,"$33,582,068",44.2%
97,Sicario: Day of the Soldado,"$75,837,743","$50,072,235",66%,"$25,765,508",34%
98,Searching,"$75,462,037","$26,020,957",34.5%,"$49,441,080",65.5%
99,The Spy Who Dumped Me,"$75,320,680","$33,562,069",44.6%,"$41,758,611",55.4%
100,Animal World,"$74,922,830",-,-,"$74,922,830",100%
101,Amazing China,"$72,506,343",-,-,"$72,506,343",100%
102,Second Act,"$72,282,227","$39,282,227",54.3%,"$33,000,000",45.7%
103,Spirited Away 2018 Re-release,"$70,186,029","$1,175,067",1.7%,"$69,010,962",98.3%
104,Shoplifters,"$67,999,335","$3,313,513",4.9%,"$64,685,822",95.1%
105,12 Strong,"$67,450,815","$45,819,713",67.9%,"$21,631,102",32.1%
106,"Love, Simon","$66,316,289","$40,826,341",61.6%,"$25,489,948",38.4%
107,Mile 22,"$66,308,758","$36,108,758",54.5%,"$30,200,000",45.5%
108,Life of the Party,"$65,859,911","$53,059,911",80.6%,"$12,800,000",19.4%
109,L Storm,"$64,517,456",-,-,"$64,517,456",100%
110,Capernaum,"$64,417,003","$1,661,096",2.6%,"$62,755,907",97.4%
111,Isle of Dogs,"$64,241,499","$32,015,231",49.8%,"$32,226,268",50.2%
112,Andhadhun,"$62,475,342","$1,193,046",1.9%,"$61,282,296",98.1%
113,Adrift,"$59,945,012","$31,445,012",52.5%,"$28,500,000",47.5%
114,The 15:17 to Paris,"$57,076,286","$36,276,286",63.6%,"$20,800,000",36.4%
115,A or B,"$56,239,049",-,-,"$56,239,049",100%
116,Go Brother!,"$54,663,060",-,-,"$54,663,060",100%
117,Early Man,"$54,622,814","$8,267,544",15.1%,"$46,355,270",84.9%
118,Peppermint,"$53,918,723","$35,418,723",65.7%,"$18,500,000",34.3%
119,Teen Titans GO! To the Movies,"$52,090,236","$29,790,236",57.2%,"$22,300,000",42.8%
120,Slender Man,"$51,738,549","$30,569,484",59.1%,"$21,169,065",40.9%
121,Breaking In,"$51,411,620","$46,840,590",91.1%,"$4,571,030",8.9%
122,Cry Me a Sad River,"$51,400,614",-,-,"$51,400,614",100%
123,Once Upon a Deadpool 2018 Re-release,"$51,349,833","$6,100,309",11.9%,"$45,249,524",88.1%
124,Simmba,"$51,329,025","$5,102,129",9.9%,"$46,226,896",90.1%
125,Family is Family,"$49,954,866",-,-,"$49,954,866",100%
126,Death Wish,"$49,562,710","$34,017,028",68.6%,"$15,545,682",31.4%
127,The Magic Tuche,"$47,427,990",-,-,"$47,427,990",100%
128,Golden Job,"$47,287,851","$285,795",0.6%,"$47,002,056",99.4%
129,Mary Queen of Scots,"$46,712,809","$16,468,499",35.3%,"$30,244,310",64.7%
130,Uncle Drew,"$46,664,414","$42,469,946",91%,"$4,194,468",9%
131,Acrimony,"$46,403,669","$43,549,096",93.8%,"$2,854,573",6.2%
132,Asterix: The Secret of the Magic Potion,"$46,217,749","$1,271,953",2.8%,"$44,945,796",97.2%
133,Bajrangi Bhaijaan 2018 Re-release,"$45,579,004",-,-,"$45,579,004",100%
134,Winchester,"$44,019,588","$25,091,816",57%,"$18,927,772",43%
135,Annihilation,"$43,070,915","$32,732,301",76%,"$10,338,614",24%
136,The Possession of Hannah Grace,"$43,016,528","$14,837,422",34.5%,"$28,179,106",65.5%
137,Long Day's Journey Into Night,"$42,140,994","$521,365",1.2%,"$41,619,629",98.8%
138,Overlord,"$41,657,844","$21,704,844",52.1%,"$19,953,000",47.9%
139,The Great Battle,"$41,509,280","$472,166",1.1%,"$41,037,114",98.9%
140,The Darkest Minds,"$41,142,379","$12,695,691",30.9%,"$28,446,688",69.1%
141,"Lost, Found","$41,043,552",-,-,"$41,043,552",100%
142,Holmes & Watson,"$40,466,970","$30,573,626",75.6%,"$9,893,344",24.4%
143,Intimate Strangers,"$39,576,060",-,-,"$39,576,060",100%
144,Thugs of Hindostan,"$39,570,044","$1,449,848",3.7%,"$38,120,196",96.3%
145,Sink or Swim,"$39,193,850",-,-,"$39,193,850",100%
146,Show Dogs,"$39,156,854","$17,857,020",45.6%,"$21,299,834",54.4%
147,Believer,"$39,047,153","$365,639",0.9%,"$38,681,514",99.1%
148,The Spy Gone North,"$38,844,509","$500,803",1.3%,"$38,343,706",98.7%
149,On the Basis of Sex,"$38,673,750","$24,622,687",63.7%,"$14,051,063",36.3%
150,Taxi 5,"$38,598,227",-,-,"$38,598,227",100%
151,Fat Buddies,"$37,496,410",-,-,"$37,496,410",100%
152,Till The End Of The World,"$37,013,733","$118,660",0.3%,"$36,895,073",99.7%
153,2.0,"$36,945,969","$4,152,000",11.2%,"$32,793,969",88.8%
154,Nothing to Lose,"$36,075,317","$1,016,188",2.8%,"$35,059,129",97.2%
155,Mia and the White Lion,"$35,487,190","$399,471",1.1%,"$35,087,719",98.9%
156,The Girl in the Spider's Web,"$35,164,920","$14,841,338",42.2%,"$20,323,582",57.8%
157,The Hate U Give,"$34,934,009","$29,719,483",85.1%,"$5,214,526",14.9%
158,Nobody's Fool,"$33,705,333","$31,713,110",94.1%,"$1,992,223",5.9%
159,Baaghi 2,"$33,139,063","$1,319,579",4%,"$31,819,484",96%
160,The Hurricane Heist,"$32,517,248","$6,115,825",18.8%,"$26,401,423",81.2%
161,All About Me,"$31,920,159",-,-,"$31,920,159",100%
162,Bad Times at the El Royale,"$31,882,724","$17,839,115",56%,"$14,043,609",44%
163,Beautiful Boy,"$31,711,319","$7,649,973",24.1%,"$24,061,346",75.9%
164,Hunter Killer,"$31,672,678","$15,767,460",49.8%,"$15,905,218",50.2%
165,Super Troopers 2,"$31,626,386","$30,617,396",96.8%,"$1,008,990",3.2%
166,The Strangers: Prey at Night,"$31,039,126","$24,586,708",79.2%,"$6,452,418",20.8%
167,Gintama 2: Rules are Made to be Broken,"$30,896,653",-,-,"$30,896,653",100%
168,The Way of the Bug,"$30,355,804",-,-,"$30,355,804",100%
169,Clergy,"$30,114,115",-,-,"$30,114,115",100%
170,Ice,"$29,806,210",-,-,"$29,806,210",100%
171,Free Solo,"$29,390,279","$17,541,090",59.7%,"$11,849,189",40.3%
172,Dark Figure of Crime,"$29,176,133",-,-,"$29,176,133",100%
173,Pad Man,"$29,045,020","$1,670,192",5.8%,"$27,374,828",94.2%
174,Mirai,"$28,756,961","$812,794",2.8%,"$27,944,167",97.2%
175,Default,"$27,694,043","$203,775",0.7%,"$27,490,268",99.3%
176,One Cut of the Dead,"$27,590,180","$52,406",0.2%,"$27,537,774",99.8%
177,The Happytime Murders,"$27,506,452","$20,706,452",75.3%,"$6,800,000",24.7%
178,Midnight Sun,"$27,365,467","$9,561,064",34.9%,"$17,804,403",65.1%
179,VIP Policeman,"$27,222,681",-,-,"$27,222,681",100%
180,My Neighbor Totoro 2018 Re-release,"$27,083,857","$1,144,649",4.2%,"$25,939,208",95.8%
181,The Faces of My Gene,"$26,796,279",-,-,"$26,796,279",100%
182,Badhaai Ho,"$26,125,610",-,-,"$26,125,610",100%
183,Hichki,"$26,055,222","$330,279",1.3%,"$25,724,943",98.7%
184,White Boy Rick,"$25,957,482","$24,011,188",92.5%,"$1,946,294",7.5%
185,"Paul, Apostle of Christ","$25,915,966","$17,560,475",67.8%,"$8,355,491",32.2%
186,Champions,"$25,862,631",-,-,"$25,862,631",100%
187,Keys To The Heart,"$25,375,866","$75,134",0.3%,"$25,300,732",99.7%
188,Stan & Ollie,"$24,420,923","$5,470,235",22.4%,"$18,950,688",77.6%
189,The Witch: Part 1 - The Subversion,"$24,340,302",-,-,"$24,340,302",100%
190,The Accidental Detective 2: In Action,"$24,243,825","$179,045",0.7%,"$24,064,780",99.3%
191,Killing for the Prosecution,"$23,929,620",-,-,"$23,929,620",100%
192,Pokémon the Movie: The Power of Us,"$23,740,788","$789,170",3.3%,"$22,951,618",96.7%
193,The Guernsey Literary and Potato Peel Pie Society,"$23,148,937",-,-,"$23,148,937",100%
194,The Crimes That Bind,"$23,144,130",-,-,"$23,144,130",100%
195,New Happy Dad and Son 3: Adventure in Russia,"$23,130,469",-,-,"$23,130,469",100%
196,Padmaavat,"$22,991,060","$11,846,060",51.5%,"$11,145,000",48.5%
197,Won't You Be My Neighbor?,"$22,844,741","$22,835,787",100%,"$8,954",<0.1%
198,Europe Raiders,"$22,435,156",-,-,"$22,435,156",100%
199,Mojin: The Worm Valley,"$22,381,583","$101,516",0.5%,"$22,280,067",99.5%
200,Stree,"$22,075,730",-,-,"$22,075,730",100%
