Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Captain America: Civil War,"$1,153,296,293","$408,084,349",35.4%,"$745,211,944",64.6%
2,Rogue One: A Star Wars Story,"$1,056,057,273","$532,177,324",50.4%,"$523,879,949",49.6%
3,Finding Dory,"$1,028,570,889","$486,295,561",47.3%,"$542,275,328",52.7%
4,Zootopia,"$1,023,784,195","$341,268,248",33.3%,"$682,515,947",66.7%
5,The Jungle Book,"$966,550,600","$364,001,123",37.7%,"$602,549,477",62.3%
6,The Secret Life of Pets,"$875,457,937","$368,384,330",42.1%,"$507,073,607",57.9%
7,Batman v Superman: Dawn of Justice,"$873,634,919","$330,360,194",37.8%,"$543,274,725",62.2%
8,Fantastic Beasts and Where to Find Them,"$814,037,575","$234,037,575",28.8%,"$580,000,000",71.2%
9,Deadpool,"$782,612,155","$363,070,709",46.4%,"$419,541,446",53.6%
10,Suicide Squad,"$746,846,894","$325,100,054",43.5%,"$421,746,840",56.5%
11,Doctor Strange,"$677,718,395","$232,641,920",34.3%,"$445,076,475",65.7%
12,Moana,"$643,331,111","$248,757,044",38.7%,"$394,574,067",61.3%
13,Sing,"$634,151,679","$270,395,425",42.6%,"$363,756,254",57.4%
14,The Mermaid,"$553,810,228","$3,232,685",0.6%,"$550,577,543",99.4%
15,X-Men: Apocalypse,"$543,934,105","$155,442,489",28.6%,"$388,491,616",71.4%
16,Kung Fu Panda 3,"$521,170,825","$143,528,619",27.5%,"$377,642,206",72.5%
17,La La Land,"$447,407,695","$151,101,803",33.8%,"$296,305,892",66.2%
18,Warcraft,"$439,048,914","$47,365,290",10.8%,"$391,683,624",89.2%
19,Jason Bourne,"$415,484,914","$162,434,410",39.1%,"$253,050,504",60.9%
20,Ice Age: Collision Course,"$408,579,038","$64,063,008",15.7%,"$344,516,030",84.3%
21,Independence Day: Resurgence,"$389,681,935","$103,144,286",26.5%,"$286,537,649",73.5%
22,Your Name.,"$357,986,087","$5,017,246",1.4%,"$352,968,841",98.6%
23,The Legend of Tarzan,"$356,700,357","$126,643,061",35.5%,"$230,057,296",64.5%
24,The Angry Birds Movie,"$352,333,929","$107,509,366",30.5%,"$244,824,563",69.5%
25,Trolls,"$346,864,462","$153,707,064",44.3%,"$193,157,398",55.7%
26,Star Trek Beyond,"$343,471,816","$158,848,340",46.2%,"$184,623,476",53.8%
27,The Great Wall,"$334,933,831","$45,540,830",13.6%,"$289,393,001",86.4%
28,Now You See Me 2,"$334,897,606","$65,075,540",19.4%,"$269,822,066",80.6%
29,The Conjuring 2,"$320,392,818","$102,470,008",32%,"$217,922,810",68%
30,Resident Evil: The Final Chapter,"$312,242,626","$26,830,068",8.6%,"$285,412,558",91.4%
31,Dangal,"$303,723,636","$12,391,761",4.1%,"$291,331,875",95.9%
32,Passengers,"$303,144,152","$100,014,699",33%,"$203,129,453",67%
33,Alice Through the Looking Glass,"$299,457,024","$77,041,381",25.7%,"$222,415,643",74.3%
34,Miss Peregrine's Home for Peculiar Children,"$296,482,446","$87,242,834",29.4%,"$209,239,612",70.6%
35,Teenage Mutant Ninja Turtles: Out of the Shadows,"$245,623,848","$82,051,601",33.4%,"$163,572,247",66.6%
36,Sully,"$240,797,623","$125,070,033",51.9%,"$115,727,590",48.1%
37,Assassin's Creed,"$240,697,856","$54,647,948",22.7%,"$186,049,908",77.3%
38,Hidden Figures,"$235,956,898","$169,607,287",71.9%,"$66,349,611",28.1%
39,Ghostbusters,"$229,147,509","$128,350,574",56%,"$100,796,935",44%
40,Inferno,"$220,021,259","$34,343,574",15.6%,"$185,677,685",84.4%
41,Central Intelligence,"$216,972,543","$127,440,871",58.7%,"$89,531,672",41.3%
42,Bridget Jones's Baby,"$211,952,420","$24,252,420",11.4%,"$187,700,000",88.6%
43,Me Before You,"$208,314,186","$56,245,075",27%,"$152,069,111",73%
44,London Has Fallen,"$205,754,447","$62,524,260",30.4%,"$143,230,187",69.6%
45,Arrival,"$203,388,186","$100,546,139",49.4%,"$102,842,047",50.6%
46,The BFG,"$195,243,411","$55,483,770",28.4%,"$139,759,641",71.6%
47,The Monkey King 2,"$193,678,298","$709,982",0.4%,"$192,968,316",99.6%
48,Bad Moms,"$183,936,074","$113,257,297",61.6%,"$70,678,777",38.4%
49,Storks,"$183,388,953","$72,679,278",39.6%,"$110,709,675",60.4%
50,From Vegas to Macau III,"$181,732,879",-,-,"$181,732,879",100%
51,Hacksaw Ridge,"$180,563,636","$67,209,615",37.2%,"$113,354,021",62.8%
52,Allegiant,"$179,246,868","$66,184,051",36.9%,"$113,062,817",63.1%
53,Operation Mekong,"$173,839,072","$800,012",0.5%,"$173,039,060",99.5%
54,The Girl on the Train,"$173,185,859","$75,395,035",43.5%,"$97,790,824",56.5%
55,The Huntsman: Winter's War,"$164,989,338","$48,390,190",29.3%,"$116,599,148",70.7%
56,The Magnificent Seven,"$162,360,636","$93,432,655",57.5%,"$68,927,981",42.5%
57,Jack Reacher: Never Go Back,"$162,146,076","$58,697,076",36.2%,"$103,449,000",63.8%
58,Don't Breathe,"$157,761,002","$89,217,875",56.6%,"$68,543,127",43.4%
59,The Accountant,"$155,160,045","$86,260,045",55.6%,"$68,900,000",44.4%
60,Lights Out,"$148,868,835","$67,268,835",45.2%,"$81,600,000",54.8%
61,Time Raiders,"$145,819,137",-,-,"$145,819,137",100%
62,Pete's Dragon,"$143,695,338","$76,233,151",53.1%,"$67,462,187",46.9%
63,Sausage Party,"$140,705,322","$97,685,686",69.4%,"$43,019,636",30.6%
64,Lion,"$140,312,928","$51,738,905",36.9%,"$88,574,023",63.1%
65,Skiptrace,"$136,579,287",-,-,"$136,579,287",100%
66,Mechanic: Resurrection,"$125,729,635","$21,218,403",16.9%,"$104,511,232",83.1%
67,Deepwater Horizon,"$121,790,373","$61,433,527",50.4%,"$60,356,846",49.6%
68,Allied,"$119,520,023","$40,098,064",33.5%,"$79,421,959",66.5%
69,I Belonged to You,"$119,107,580","$744,541",0.6%,"$118,363,039",99.4%
70,The Shallows,"$119,100,758","$55,124,043",46.3%,"$63,976,715",53.7%
71,The Purge: Election Year,"$118,587,880","$79,213,375",66.8%,"$39,374,505",33.2%
72,Why Him?,"$118,102,725","$60,323,786",51.1%,"$57,778,939",48.9%
73,Book of Love,"$114,679,097",-,-,"$114,679,097",100%
74,Office Christmas Party,"$114,501,299","$54,767,494",47.8%,"$59,733,805",52.2%
75,How to Be Single,"$112,343,513","$46,843,513",41.7%,"$65,500,000",58.3%
76,10 Cloverfield Lane,"$110,216,998","$72,082,998",65.4%,"$38,134,000",34.6%
77,Neighbors 2: Sorority Rising,"$108,007,109","$55,455,765",51.3%,"$52,551,344",48.7%
78,Cold War 2,"$103,197,501","$560,824",0.5%,"$102,636,677",99.5%
79,Railroad Tigers,"$102,205,175","$218,044",0.2%,"$101,987,131",99.8%
80,Some Like It Hot,"$95,721,752","$100,026",0.1%,"$95,621,726",99.9%
81,Dirty Grandpa,"$94,073,028","$35,593,113",37.8%,"$58,479,915",62.2%
82,Ben-Hur,"$94,061,311","$26,410,477",28.1%,"$67,650,834",71.9%
83,Money Monster,"$93,282,604","$41,012,075",44%,"$52,270,529",56%
84,Train to Busan,"$92,742,323","$2,129,768",2.3%,"$90,612,555",97.7%
85,My Big Fat Greek Wedding 2,"$90,632,641","$59,689,605",65.9%,"$30,943,036",34.1%
86,Collateral Beauty,"$88,528,280","$31,016,021",35%,"$57,512,259",65%
87,Line Walker,"$88,228,755",-,-,"$88,228,755",100%
88,Sultan,"$87,280,000","$6,200,000",7.1%,"$81,080,000",92.9%
89,War Dogs,"$86,234,523","$43,034,523",49.9%,"$43,200,000",50.1%
90,Big Fish & Begonia,"$85,409,373",-,-,"$85,409,373",100%
91,Nerve,"$85,251,425","$38,583,626",45.3%,"$46,667,799",54.7%
92,Leap!,"$84,197,417","$2,844,490",3.4%,"$81,352,927",96.6%
93,Ouija: Origin of Evil,"$81,705,746","$35,144,505",43%,"$46,561,241",57%
94,Underworld: Blood Wars,"$81,093,313","$30,353,973",37.4%,"$50,739,340",62.6%
95,Manchester by the Sea,"$78,988,148","$47,695,371",60.4%,"$31,292,777",39.6%
96,The Boss,"$78,844,582","$63,285,885",80.3%,"$15,558,697",19.7%
97,Shin Godzilla,"$77,947,607","$1,918,403",2.5%,"$76,029,204",97.5%
98,Mike and Dave Need Wedding Dates,"$77,068,246","$46,009,673",59.7%,"$31,058,573",40.3%
99,Kubo and the Two Strings,"$76,249,438","$48,023,088",63%,"$28,226,350",37%
100,Quo vado?,"$75,878,701",-,-,"$75,878,701",100%
