Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Harry Potter and the Sorcerer's Stone,"$974,755,371","$317,575,550",32.6%,"$657,179,821",67.4%
2,The Lord of the Rings: The Fellowship of the Ring,"$880,839,846","$313,364,114",35.6%,"$567,475,732",64.4%
3,"Monsters, Inc.","$528,773,250","$255,873,250",48.4%,"$272,900,000",51.6%
4,Shrek,"$484,409,218","$267,665,011",55.3%,"$216,744,207",44.7%
5,Ocean's Eleven,"$450,717,150","$183,417,150",40.7%,"$267,300,000",59.3%
6,Pearl Harbor,"$449,220,945","$198,542,554",44.2%,"$250,678,391",55.8%
7,The Mummy Returns,"$433,013,274","$202,019,785",46.7%,"$230,993,489",53.3%
8,Jurassic Park III,"$368,780,809","$181,171,875",49.1%,"$187,608,934",50.9%
9,Planet of the Apes,"$362,211,740","$180,011,740",49.7%,"$182,200,000",50.3%
10,Hannibal,"$351,692,268","$165,092,268",46.9%,"$186,600,000",53.1%
11,Rush Hour 2,"$347,325,802","$226,164,286",65.1%,"$121,161,516",34.9%
12,A Beautiful Mind,"$313,542,341","$170,742,341",54.5%,"$142,800,000",45.5%
13,American Pie 2,"$287,553,595","$145,103,595",50.5%,"$142,450,000",49.5%
14,Bridget Jones's Diary,"$281,929,795","$71,543,427",25.4%,"$210,386,368",74.6%
15,Spirited Away,"$274,925,095","$10,055,859",3.7%,"$264,869,236",96.3%
16,Lara Croft: Tomb Raider,"$274,703,340","$131,168,070",47.7%,"$143,535,270",52.3%
17,A.I. Artificial Intelligence,"$235,926,552","$78,616,689",33.3%,"$157,309,863",66.7%
18,The Others,"$209,947,037","$96,522,687",46%,"$113,424,350",54%
19,The Fast and the Furious,"$207,283,925","$144,533,925",69.7%,"$62,750,000",30.3%
20,Vanilla Sky,"$203,388,341","$100,618,344",49.5%,"$102,769,997",50.5%
21,Cats & Dogs,"$200,687,492","$93,385,515",46.5%,"$107,301,977",53.5%
22,Atlantis: The Lost Empire,"$186,053,725","$84,056,472",45.2%,"$101,997,253",54.8%
23,Moulin Rouge!,"$179,213,434","$57,386,607",32%,"$121,826,827",68%
24,Dr. Dolittle 2,"$176,104,344","$112,952,899",64.1%,"$63,151,445",35.9%
25,Amélie,"$173,921,954","$33,225,499",19.1%,"$140,696,455",80.9%
26,Black Hawk Down,"$172,989,651","$108,638,745",62.8%,"$64,350,906",37.2%
27,The Princess Diaries,"$165,335,153","$108,248,956",65.5%,"$57,086,197",34.5%
28,Spy Kids,"$147,934,180","$112,719,001",76.2%,"$35,215,179",23.8%
29,The Mexican,"$147,845,033","$66,845,033",45.2%,"$81,000,000",54.8%
30,Swordfish,"$147,080,413","$69,772,969",47.4%,"$77,307,444",52.6%
31,Spy Game,"$143,049,560","$62,362,560",43.6%,"$80,687,000",56.4%
32,Legally Blonde,"$141,774,679","$96,520,674",68.1%,"$45,254,005",31.9%
33,Scary Movie 2,"$141,220,678","$71,308,997",50.5%,"$69,911,681",49.5%
34,Shallow Hal,"$141,069,860","$70,839,203",50.2%,"$70,230,657",49.8%
35,America's Sweethearts,"$138,307,673","$93,607,673",67.7%,"$44,700,000",32.3%
